problem,library,execution_time
Promedus_26,TensorInference,0.012618744
Promedus_26,JunctionTrees_v1,0.001883355
Promedus_26,JunctionTrees_v2,0.00472708
Promedus_26,merlin,0.0006280000000000001
Promedus_26,libdai,0.036459000000000005
Promedus_24,TensorInference,0.0049037
Promedus_24,JunctionTrees_v1,0.000702567
Promedus_24,JunctionTrees_v2,0.001950219
Promedus_24,merlin,0.0005381100000000005
Promedus_24,libdai,0.004900000000000001
Promedus_29,TensorInference,0.010885078
Promedus_29,JunctionTrees_v1,0.001626188
Promedus_29,JunctionTrees_v2,0.004542123
Promedus_29,merlin,0.001059000000000001
Promedus_29,libdai,0.029707
ObjectDetection_12,TensorInference,0.084628615
ObjectDetection_12,JunctionTrees_v1,0.986481513
ObjectDetection_12,JunctionTrees_v2,0.747738308
ObjectDetection_12,merlin,4.36648
ObjectDetection_12,libdai,13.788295
ObjectDetection_14,TensorInference,0.462433262
ObjectDetection_14,JunctionTrees_v1,5.056409679
ObjectDetection_14,JunctionTrees_v2,3.838176182
ObjectDetection_14,merlin,23.20521
ObjectDetection_14,libdai,66.21318600000001
ObjectDetection_15,TensorInference,0.057217116
ObjectDetection_15,JunctionTrees_v1,2.164512352
ObjectDetection_15,JunctionTrees_v2,0.98111945
ObjectDetection_15,merlin,10.45538
ObjectDetection_15,libdai,41.20133800000001
ObjectDetection_17,TensorInference,0.306744514
ObjectDetection_17,JunctionTrees_v1,5.031499206
ObjectDetection_17,JunctionTrees_v2,3.827060724
ObjectDetection_17,merlin,22.57118
ObjectDetection_17,libdai,66.599093
ObjectDetection_18,TensorInference,0.093396899
ObjectDetection_18,JunctionTrees_v1,0.984954816
ObjectDetection_18,JunctionTrees_v2,0.743483184
ObjectDetection_18,merlin,4.513310000000001
ObjectDetection_18,libdai,13.752388000000002
ObjectDetection_20,TensorInference,0.390074167
ObjectDetection_20,JunctionTrees_v1,5.063363197
ObjectDetection_20,JunctionTrees_v2,3.917594022
ObjectDetection_20,merlin,22.66801
ObjectDetection_20,libdai,66.443271
ObjectDetection_21,TensorInference,0.055887723
ObjectDetection_21,JunctionTrees_v1,2.180471639
ObjectDetection_21,JunctionTrees_v2,0.977842118
ObjectDetection_21,merlin,10.145199999999999
ObjectDetection_21,libdai,41.028706
ObjectDetection_24,TensorInference,0.456994925
ObjectDetection_24,JunctionTrees_v1,5.066158304
ObjectDetection_24,JunctionTrees_v2,3.858401915
ObjectDetection_24,merlin,22.99358
ObjectDetection_24,libdai,66.08085799999999
ObjectDetection_25,TensorInference,0.056853603
ObjectDetection_25,JunctionTrees_v1,2.174804482
ObjectDetection_25,JunctionTrees_v2,0.960488938
ObjectDetection_25,merlin,10.2564
ObjectDetection_25,libdai,41.40609
ObjectDetection_27,TensorInference,0.48448587
ObjectDetection_27,JunctionTrees_v1,5.012812995
ObjectDetection_27,JunctionTrees_v2,3.817866717
ObjectDetection_27,merlin,22.923949999999998
ObjectDetection_27,libdai,67.243205
ObjectDetection_32,TensorInference,0.057136865
ObjectDetection_32,JunctionTrees_v1,0.635746791
ObjectDetection_32,JunctionTrees_v2,0.115321896
ObjectDetection_32,merlin,2.5205080000000004
ObjectDetection_32,libdai,6.997890999999999
ObjectDetection_33,TensorInference,0.212768935
ObjectDetection_33,JunctionTrees_v1,3.296652507
ObjectDetection_33,JunctionTrees_v2,0.575183624
ObjectDetection_33,merlin,12.87111
ObjectDetection_33,libdai,29.757327
ObjectDetection_37,TensorInference,0.223275312
ObjectDetection_37,JunctionTrees_v1,3.28946179
ObjectDetection_37,JunctionTrees_v2,0.575760988
ObjectDetection_37,merlin,13.07732
ObjectDetection_37,libdai,29.366401999999997
ObjectDetection_40,TensorInference,0.054695224
ObjectDetection_40,JunctionTrees_v1,0.631175381
ObjectDetection_40,JunctionTrees_v2,0.129242603
ObjectDetection_40,merlin,2.485669
ObjectDetection_40,libdai,6.012372
ObjectDetection_41,TensorInference,0.309292047
ObjectDetection_41,JunctionTrees_v1,3.31033476
ObjectDetection_41,JunctionTrees_v2,0.575034403
ObjectDetection_41,merlin,12.90747
ObjectDetection_41,libdai,28.988844
ObjectDetection_44,TensorInference,0.06096673
ObjectDetection_44,JunctionTrees_v1,0.634454831
ObjectDetection_44,JunctionTrees_v2,0.127153991
ObjectDetection_44,merlin,2.5431719999999998
ObjectDetection_44,libdai,5.984504
ObjectDetection_45,TensorInference,0.240388603
ObjectDetection_45,JunctionTrees_v1,3.375944638
ObjectDetection_45,JunctionTrees_v2,0.581303276
ObjectDetection_45,merlin,12.97439
ObjectDetection_45,libdai,28.751223000000003
ObjectDetection_49,TensorInference,0.060167374
ObjectDetection_49,JunctionTrees_v1,0.631931346
ObjectDetection_49,JunctionTrees_v2,0.114747147
ObjectDetection_49,merlin,2.4699340000000003
ObjectDetection_49,libdai,5.979627000000001
